Well,Cycle,FAM
E7,3,-4473.496094
E8,3,-4144.375977
E9,3,-4154.568848
E10,3,
E11,3,
E12,3,
F1,3,-3935.963379
F2,3,-3337.383301
F3,3,-4228.490234
F4,3,-4658.027344
F5,3,-4275.439941
F6,3,-4454.096191
F7,3,-4468.84668
F8,3,-4719.05957
F9,3,-4200.185547
F10,3,
F11,3,
F12,3,-4060.840332
G1,3,-4325.097656
G2,3,-4301.163086
G3,3,-4654.40625
G4,3,-3722.987061
G5,3,-4944.92041
G6,3,-4718.586914
G7,3,-4655.568359
G8,3,-4076.994629
G9,3,-4683.981934
G10,3,
G11,3,
G12,3,-4071.804932
H1,3,-2284.068848
H2,3,-4333.825684
H3,3,-4005.43457
H4,3,-4596.176758
H5,3,-4279.746094
H6,3,-4616.250488
H7,3,-4413.075195
H8,3,-4650.888672
H9,3,-4332.03125
H10,3,
H11,3,
H12,3,-3720.731934
A1,4,852.0718994
A2,4,2115.598389
A3,4,3570.531982
A4,4,1280.207275
A5,4,3760.730713
A6,4,3175.682617
A7,4,537.7869873
A8,4,1122.108398
A9,4,-700.7194214
A10,4,-3719.256348
A11,4,-4332.416016
A12,4,-3733.662598
B1,4,-1115.641602
B2,4,-1609.949951
B3,4,-2837.619385
B4,4,572.1767578
B5,4,609.9348145
B6,4,-713.6175537
B7,4,-1510.793213
B8,4,814.031189
B9,4,-1847.32959
B10,4,-4646.421875
B11,4,-4207.20166
B12,4,-3920.019775
C1,4,-1230.929443
C2,4,-3790.578613
C3,4,316.9598083
C4,4,-2609.632568
C5,4,-3158.80835
C6,4,260.6990356
C7,4,-4280.408203
C8,4,-3093.207275
C9,4,-3761.825195
C10,4,-4033.9646
C11,4,-3721.551025
C12,4,-3698.340332
D1,4,-3924.779541
D2,4,-3214.483887
D3,4,-4174.538086
D4,4,-3380.158447
D5,4,-3500.797119
D6,4,-3093.869629
D7,4,-4115.791016
D8,4,-4547.108398
D9,4,-4322.34375
D10,4,
D11,4,
D12,4,
E1,4,-4125.388672
E2,4,-4529.15918
E3,4,-4556.79541
E4,4,-4533.227051
E5,4,-4367.286621
E6,4,-4407.401855
E7,4,-4481.226563
E8,4,-4170.081543
E9,4,-4182.756348
E10,4,
E11,4,
E12,4,
F1,4,-3965.321289
F2,4,-3346.161133
F3,4,-4230.148438
F4,4,-4683.098633
F5,4,-4264.293945
F6,4,-4458.550781
F7,4,-4481.97168
F8,4,-4732.741211
F9,4,-4211.419922
F10,4,
F11,4,
F12,4,-4087.527344
G1,4,-4324.023438
G2,4,-4322.649414
G3,4,-4652.741699
G4,4,-3744.415527
G5,4,-4944.276367
G6,4,-4731.597168
G7,4,-4670.823242
G8,4,-4105.28125
G9,4,-4669.111328
G10,4,
G11,4,
G12,4,-4068.826416
H1,4,-2278.767578
H2,4,-4348.021484
H3,4,-4005.69873
H4,4,-4616.612305
H5,4,-4301.506836
H6,4,-4623.180664
H7,4,-4439.232422
H8,4,-4666.795898
H9,4,-4362.107422
H10,4,
H11,4,
H12,4,-3744.476074
A1,5,2054.52832
A2,5,3377.824951
A3,5,5061.962402
A4,5,2540.552734
A5,5,5257.212891
A6,5,4636.777344
A7,5,1522.01416
A8,5,2359.006836
A9,5,250.8623047
A10,5,-3724.557373
A11,5,-4321.673828
A12,5,-3724.084473
B1,5,-298.8556824
B2,5,-1034.634766
B3,5,-2375.427246
B4,5,1750.501099
B5,5,1716.11438
B6,5,273.6130981
B7,5,-653.7553711
B8,5,2073.146973
B9,5,-1249.607422
B10,5,-4666.02832
B11,5,-4207.597168
B12,5,-3912.80249
C1,5,-561.5053711
C2,5,-3645.960449
C3,5,1370.182373
C4,5,-2215.198486
C5,5,-2817.398926
C6,5,1438.274658
C7,5,-4149.389648
C8,5,-2665.553711
C9,5,-3522.942383
C10,5,-4051.158203
C11,5,-3737.68042
C12,5,-3712.714844
D1,5,-3937.276367
D2,5,-3247.516113
D3,5,-4190.864746
D4,5,-3130.752686
D5,5,-3391.489746
D6,5,-2753.390137
D7,5,-4095.844727
D8,5,-4556.289063
D9,5,-4204.038086
D10,5,
D11,5,
D12,5,
E1,5,-4117.810059
E2,5,-4545.255859
E3,5,-4565.035645
E4,5,-4535.830078
E5,5,-4331.369141
E6,5,-4368.850586
E7,5,-4501.719238
E8,5,-4184.158203
E9,5,-4196.395508
E10,5,
E11,5,
E12,5,
F1,5,-3987.534424
F2,5,-3360.080811
F3,5,-4227.192383
F4,5,-4680.658691
F5,5,-4273.34668
F6,5,-4461.46875
F7,5,-4468.988281
F8,5,-4736.73584
F9,5,-4232.436035
F10,5,
F11,5,
F12,5,-4092.411621
G1,5,-4352.039063
G2,5,-4325.304199
G3,5,-4667.558105
G4,5,-3750.610352
G5,5,-4931.397461
G6,5,-4738.44043
G7,5,-4707.36377
G8,5,-4109.844727
G9,5,-4676.133301
G10,5,
G11,5,
G12,5,-4086.205566
H1,5,-2296.240479
H2,5,-4350.381348
H3,5,-4012.72998
H4,5,-4619.885742
H5,5,-4311.602539
H6,5,-4622.75
H7,5,-4422.043457
H8,5,-4662.396484
H9,5,-4369.175781
H10,5,
H11,5,
H12,5,-3748.197754
A1,6,3146.027832
A2,6,4574.802246
A3,6,6343.964844
A4,6,3732.614502
A5,6,6576.889648
A6,6,5899.400391
A7,6,2470.245361
A8,6,3486.715576
A9,6,1163.078247
A10,6,-3723.710449
A11,6,-4315.01123
A12,6,-3729.321533
B1,6,494.4908752
B2,6,-395.1134644
B3,6,-1913.562622
B4,6,2829.190674
B5,6,2776.489258
B6,6,1217.28064
B7,6,169.0452576
B8,6,3183.202393
B9,6,-636.0480347
B10,6,-4649.683594
B11,6,-4189.6875
B12,6,-3914.419434
C1,6,104.8005371
C2,6,-3575.353271
C3,6,2401.0271
C4,6,-1808.570068
C5,6,-2479.209229
C6,6,2512.783447
C7,6,-4006.394531
C8,6,-2247.533203
C9,6,-3266.128662
C10,6,-4038.605957
C11,6,-3723.387939
C12,6,-3719.530029
D1,6,-3931.856689
D2,6,-3233.384521
D3,6,-4190.236328
D4,6,-2851.938477
D5,6,-3313.990234
D6,6,-2429.294922
D7,6,-4062.283691
D8,6,-4542.268555
D9,6,-4091.227783
D10,6,
D11,6,
D12,6,
E1,6,-4128.585938
