Well,Cycle,FAM,ROX
G2,2,-1647.956909,-1744.024658
G3,2,-1693.251221,-1656.951904
G4,2,-1519.567627,-1396.566406
G5,2,-1964.508423,-2182.416504
G6,2,-1804.055786,-1772.552246
G7,2,-1611.529297,-1570.482178
G8,2,-1178.494995,-684.2407837
G9,2,-1732.556274,-1532.42749
G10,2,,
G11,2,,
G12,2,,
H1,2,-787.6624146,-649.4456177
H2,2,-1761.658325,-1657.709351
H3,2,-1494.975586,-1495.703857
H4,2,-1831.624023,-1746.261475
H5,2,-1680.680786,-1604.402344
H6,2,-1672.141479,-1630.890503
H7,2,-1613.921265,-1506.236816
H8,2,-1914.97168,-1650.316772
H9,2,-1631.707642,-1460.562988
H10,2,,
H11,2,,
H12,2,,
A1,3,-462.1954651,-1479.476318
A2,3,734.7572632,-242.5991058
A3,3,353.3714905,-1597.842041
A4,3,-420.676178,-1648.94104
A5,3,687.861084,-1434.230835
A6,3,248.2050323,-1621.417969
A7,3,-913.8031616,-1336.865479
A8,3,-770.6672974,-1493.174927
A9,3,-1284.737671,-1702.868652
A10,3,-1450.528076,-1359.4375
A11,3,,
A12,3,,
B1,3,3577.387695,-1469.34729
B2,3,10.17371845,-1247.076172
B3,3,404.3451538,-1654.026611
B4,3,-260.0577698,-1630.750854
B5,3,29.53884315,-1312.975708
B6,3,477.070343,-1758.008423
B7,3,-1051.859009,-1651.828735
B8,3,-552.5530396,-1771.473877
B9,3,-1526.245972,-1401.099121
B10,3,-1784.463867,-1733.716553
B11,3,,
B12,3,,
C1,3,89.80211639,-1475.770752
C2,3,241.802948,-1451.295288
C3,3,-359.1422424,-1413.308228
C4,3,-582.9030151,-1581.057739
C5,3,-886.2249756,-1636.796753
C6,3,-255.0483246,-1714.720703
C7,3,-1062.373657,-1676.9646
C8,3,-998.2942505,-1713.268066
C9,3,-1526.234131,-1715.956787
C10,3,-1628.587646,-1468.149658
C11,3,,
C12,3,,
D1,3,33.26497269,-1504.878906
D2,3,113.1051483,-1187.166382
D3,3,-764.6712646,-1549.099365
D4,3,-1314.449341,-1602.947266
D5,3,-864.7460938,-1612.801147
D6,3,-296.7051086,-1761.993408
D7,3,-1284.674194,-1493.25
D8,3,-1684.846436,-1663.742432
D9,3,-1806.72644,-1708.854004
D10,3,,
D11,3,,
D12,3,,
E1,3,-840.5116577,-1564.443848
E2,3,-846.3579102,-1588.633789
E3,3,-841.6109619,-1596.203369
E4,3,-1270.391357,-1640.45813
E5,3,-1259.20166,-1617.141968
E6,3,-993.9812012,-1647.276001
E7,3,-1724.979004,-1613.742188
E8,3,-1572.193481,-1362.05542
E9,3,-934.0294189,-670.9394531
E10,3,,
E11,3,,
E12,3,,
F1,3,-1413.401367,-1529.025146
F2,3,-927.5631714,-1329.592285
F3,3,-1243.707031,-1400.511597
F4,3,-1560.316772,-1554.253052
F5,3,-1529.06665,-1520.645264
F6,3,-1522.675659,-1630.869873
F7,3,-1686.242554,-1591.154663
F8,3,-2058.721924,-1782.414795
F9,3,-1607.73645,-1407.068359
F10,3,,
F11,3,,
F12,3,,
G1,3,-1686.674561,-1723.452881
G2,3,-1673.950928,-1743.299194
G3,3,-1722.464966,-1665.389404
G4,3,-1530.579224,-1395.963989
G5,3,-1986.126831,-2177.860352
G6,3,-1825.872681,-1778.916748
G7,3,-1642.401611,-1567.0979
G8,3,-1215.30249,-725.8012695
G9,3,-1756.028931,-1549.366577
G10,3,,
G11,3,,
G12,3,,
H1,3,-834.3140869,-671.6568604
H2,3,-1781.113647,-1665.447632
H3,3,-1523.414185,-1490.101074
H4,3,-1845.888672,-1762.862793
H5,3,-1710.16687,-1614.119873
H6,3,-1696.968872,-1648.98584
H7,3,-1651.082031,-1529.837524
H8,3,-1937.470581,-1674.918091
H9,3,-1672.279297,-1474.138672
H10,3,,
H11,3,,
H12,3,,
A1,4,-63.03870392,-1495.390869
A2,4,1247.672607,-270.2443237
A3,4,1136.878784,-1599.768433
A4,4,96.04398346,-1665.746704
A5,4,1473.344727,-1455.771484
A6,4,1006.401978,-1624.411011
A7,4,-681.760498,-1346.479126
A8,4,-476.0572815,-1497.891846
A9,4,-1035.605347,-1699.344971
A10,4,-1442.293335,-1361.009033
A11,4,,
A12,4,,
B1,4,5463.862305,-1488.099731
B2,4,510.809845,-1267.903809
B3,4,1167.72229,-1676.929688
B4,4,269.6662598,-1627.738403
B5,4,613.0036011,-1304.94397
B6,4,1373.765869,-1763.978271
B7,4,-754.5831909,-1643.160889
B8,4,-25.38959312,-1780.383911
B9,4,-1537.010742,-1410.420654
B10,4,-1803.314087,-1735.859375
B11,4,,
B12,4,,
C1,4,604.9760132,-1501.312622
C2,4,863.8269043,-1458.798462
C3,4,50.3226738,-1416.99707
C4,4,-163.8167725,-1583.452026
C5,4,-564.9345093,-1648.646729
C6,4,324.7634277,-1716.640381
C7,4,-798.197998,-1669.052734
C8,4,-627.1588745,-1727.909058
C9,4,-1382.724854,-1712.540894
C10,4,-1646.016724,-1471.648926
C11,4,,
C12,4,,
D1,4,576.9280396,-1524.072266
D2,4,595.4487305,-1207.289795
D3,4,-433.9608765,-1561.954224
D4,4,-1166.559204,-1597.607178
D5,4,-576.6936035,-1624.450806
D6,4,254.6957245,-1768.442139
D7,4,-1177.058594,-1510.237427
D8,4,-1644.493774,-1663.179321
D9,4,-1803.750488,-1718.890991
D10,4,,
D11,4,,
D12,4,,
E1,4,-561.8320313,-1585.337646
E2,4,-575.1884155,-1608.627197
E3,4,-512.7684326,-1599.436523
E4,4,-1091.01416,-1649.881836
E5,4,-1140.886353,-1630.118164
E6,4,-710.5557861,-1663.805054
E7,4,-1743.138184,-1610.701416
E8,4,-1588.94751,-1353.135864
E9,4,-1004.668518,-703.4758911
E10,4,,
E11,4,,
E12,4,,
F1,4,-1340.980225,-1548.258545
F2,4,-787.0224609,-1347.849487
F3,4,-1196.51355,-1416.746216
F4,4,-1510.159668,-1571.754517
F5,4,-1479.263184,-1521.442871
F6,4,-1468.047729,-1625.012451
F7,4,-1698.719116,-1580.999878
F8,4,-2017.103271,-1765.519287
F9,4,-1610.838379,-1409.80603
F10,4,,
F11,4,,
F12,4,,
G1,4,-1687.083618,-1719.19751
G2,4,-1667.245972,-1737.200562
G3,4,-1745.373779,-1683.980957
G4,4,-1543.603149,-1407.183594
G5,4,-1995.395752,-2184.988281
G6,4,-1843.180542,-1771.565552
G7,4,-1660.899292,-1577.870239
G8,4,-1245.480591,-755.1617432
G9,4,-1768.98999,-1557.709351
G10,4,,
G11,4,,
G12,4,,
H1,4,-864.1646729,-700.8498535
H2,4,-1791.316284,-1673.060181
H3,4,-1541.24646,-1503.232788
H4,4,-1865.152222,-1753.490723
H5,4,-1710.361206,-1616.981201
H6,4,-1712.797119,-1652.149048
H7,4,-1658.211548,-1532.458496
H8,4,-1943.627319,-1692.338501
H9,4,-1688.387085,-1505.087036
H10,4,,
H11,4,,
H12,4,,
A1,5,348.3869934,-1492.191528
A2,5,1794.576538,-285.7589417
A3,5,1878.187256,-1615.023682
A4,5,597.2977905,-1657.947388
A5,5,2235.642578,-1469.126953
A6,5,1778.276733,-1644.859375
A7,5,-432.9214172,-1353.368042
A8,5,-154.1675262,-1511.440674
A9,5,-775.5287476,-1711.28772
A10,5,-1452.349365,-1370.394531
A11,5,,
A12,5,,
B1,5,7071.592773,-1507.858643
B2,5,1015.686279,-1270.286743
B3,5,1917.574463,-1686.387695
B4,5,834.6627808,-1631.425903
B5,5,1177.892578,-1341.045044
B6,5,2255.308838,-1789.492798
B7,5,-462.1672974,-1655.0802
B8,5,514.812561,-1772.910034
B9,5,-1550.494141,-1414.906006
B10,5,-1806.308228,-1750.238281
B11,5,,
B12,5,,
C1,5,1165.434937,-1491.425415
C2,5,1494.104126,-1472.282715
C3,5,474.1644897,-1442.717407
C4,5,239.5373993,-1614.768066
C5,5,-225.4890442,-1649.421875
C6,5,924.7094727,-1743.397095
C7,5,-476.2636719,-1675.203003
C8,5,-255.4353638,-1737.691406
C9,5,-1208.234619,-1726.335083
C10,5,-1646.86377,-1481.887451
C11,5,,
C12,5,,
D1,5,1153.359863,-1525.215942
D2,5,1087.738281,-1224.914551
D3,5,-78.6975708,-1546.671265
D4,5,-1001.634033,-1616.525757
D5,5,-270.7255554,-1634.949707
D6,5,839.2608032,-1773.197021
D7,5,-1035.584961,-1508.730835
D8,5,-1595.971436,-1660.696777
D9,5,-1790.617554,-1713.696289
D10,5,,
D11,5,,
D12,5,,
E1,5,-255.4125366,-1594.345215
E2,5,-286.5630188,-1597.805908
E3,5,-168.9122925,-1602.354248
E4,5,-878.4398193,-1647.163818
E5,5,-1000.122742,-1626.231934
E6,5,-404.3656921,-1665.497559
E7,5,-1748.516846,-1610.036621
E8,5,-1581.787231,-1368.860229
E9,5,-1048.066162,-736.7351074
E10,5,,
E11,5,,
E12,5,,
F1,5,-1255.898926,-1565.647583
F2,5,-598.5484009,-1353.322876
F3,5,-1145.902832,-1410.786621
F4,5,-1447.440796,-1570.137695
F5,5,-1435.07666,-1534.853394
F6,5,-1386.782715,-1639.544678
F7,5,-1709.827026,-1577.766113
F8,5,-1985.02478,-1760.987549
F9,5,-1616.377563,-1413.493286
F10,5,,
F11,5,,
F12,5,,
G1,5,-1683.325317,-1722.228149
G2,5,-1675.802368,-1750.737915
G3,5,-1754.24646,-1677.183472
G4,5,-1555.94812,-1419.421875
G5,5,-2001.091797,-2178.378418
G6,5,-1852.578613,-1802.576416
G7,5,-1661.746704,-1593.771729
G8,5,-1262.696045,-764.4731445
G9,5,-1770.687744,-1564.640259
G10,5,,
G11,5,,
G12,5,,
H1,5,-896.8640137,-702.1380005
H2,5,-1790.183228,-1687.754639
H3,5,-1553.934692,-1510.257324
H4,5,-1862.341431,-1757.952759
H5,5,-1724.578979,-1615.944336
H6,5,-1731.937622,-1634.769165
H7,5,-1664.878174,-1531.452393
H8,5,-1945.059204,-1671.04187
H9,5,-1697.419312,-1495.871338
H10,5,,
H11,5,,
H12,5,,
A1,6,773.9705811,-1504.020142
A2,6,2322.19165,-319.5030518
A3,6,2597.525635,-1617.80127
A4,6,1136.351929,-1669.903931
A5,6,3006.279053,-1475.815918
A6,6,2548.619873,-1651.846191
A7,6,-153.0711975,-1368.211426
A8,6,192.4401245,-1505.775269
A9,6,-484.7402954,-1710.300171
A10,6,-1462.875732,-1366.754028
A11,6,,
A12,6,,
B1,6,8595.541016,-1539.654297
B2,6,1510.755371,-1278.725708
B3,6,2663.228516,-1697.19397
B4,6,1320.081055,-1654.034912
B5,6,1766.575195,-1318.963135
B6,6,3126.603271,-1795.08606
B7,6,-119.5065079,-1662.876221
B8,6,1056.365356,-1783.399414
B9,6,-1546.670654,-1419.705566
B10,6,-1813.66333,-1749.617798
B11,6,,
B12,6,,
C1,6,1708.247681,-1509.366821
C2,6,2105.563477,-1456.932861
C3,6,908.0878296,-1434.899902
C4,6,729.9476318,-1585.462646
C5,6,145.8917847,-1650.007324
C6,6,1539.850342,-1747.733398
C7,6,-184.5473328,-1682.979126
C8,6,124.3884888,-1739.276733
C9,6,-1013.168274,-1734.374146
C10,6,-1654.102905,-1497.317627
C11,6,,
C12,6,,
D1,6,1709.635986,-1525.971191
D2,6,1616.928345,-1228.759033
D3,6,293.5932922,-1549.774414
D4,6,-810.029541,-1623.068726
D5,6,24.98283577,-1645.865723
D6,6,1422.564331,-1779.704956
D7,6,-898.9863892,-1522.41687
D8,6,-1551.62207,-1664.444824
D9,6,-1770.163696,-1716.297607
D10,6,,
D11,6,,
D12,6,,
E1,6,67.8044281,-1588.39917
E2,6,19.6452198,-1615.162598
E3,6,193.6190491,-1593.297729
