Well,Cycle,Target_Name,Rn,?Rn,
A1,116,OP1,-7.165757656,-1.657595754,
A1,117,OP1,-7.223171711,-1.705632687,
A1,118,OP1,-7.174249649,-1.647333503,
A1,119,OP1,-7.267962456,-1.731669188,
A1,120,OP1,-7.232317448,-1.686647177,
A2,1,OP2,-10.26598549,-0.156837076,
A2,2,OP2,-10.06993389,-0.027655125,
A2,3,OP2,-10.01879597,-0.043386839,
A2,4,OP2,-9.835067749,0.07347174,
A2,5,OP2,-9.861557007,-0.019887161,
A2,6,OP2,-9.78189373,-0.007093525,
A2,7,OP2,-9.711034775,-0.00310421,
A2,8,OP2,-9.898580551,-0.257519633,
A2,9,OP2,-9.958393097,-0.384201825,
A2,10,OP2,-9.911096573,-0.403774917,
A2,11,OP2,-9.75696373,-0.31651172,
A2,12,OP2,-9.929161072,-0.555578709,
A2,13,OP2,-9.659858704,-0.353145987,
A2,14,OP2,-9.721786499,-0.481943429,
A2,15,OP2,-9.808945656,-0.635972202,
A2,16,OP2,-9.98789978,-0.881796002,
A2,17,OP2,-10.00096798,-0.961733818,
A2,18,OP2,-9.809893608,-0.837529063,
A2,19,OP2,-9.870065689,-0.96457082,
A2,20,OP2,-9.794663429,-0.956038177,
A2,21,OP2,-9.942155838,-1.170400262,
A2,22,OP2,-10.17572784,-1.470841885,
A2,23,OP2,-9.963741302,-1.325724959,
A2,24,OP2,-9.824529648,-1.253382921,
A2,25,OP2,-10.1002264,-1.595949411,
A2,26,OP2,-9.965556145,-1.52814877,
A2,27,OP2,-9.864069939,-1.493532181,
A2,28,OP2,-9.96736908,-1.663700938,
A2,29,OP2,-9.924922943,-1.688124418,
A2,30,OP2,-9.850560188,-1.680631399,
A2,31,OP2,-9.92660141,-1.823542237,
A2,32,OP2,-10.25263882,-2.216449261,
A2,33,OP2,-9.948883057,-1.979563117,
A2,34,OP2,-10.11813354,-2.215683222,
A2,35,OP2,-10.22972775,-2.394147158,
A2,36,OP2,-10.09352875,-2.324817657,
A2,37,OP2,-10.26856136,-2.566720009,
A2,38,OP2,-10.14570999,-2.510738373,
A2,39,OP2,-10.37935448,-2.811252356,
A2,40,OP2,-10.52929401,-3.028061628,
A2,41,OP2,-10.36561012,-2.931247234,
A2,42,OP2,-10.32978439,-2.962291241,
A2,43,OP2,-10.49793911,-3.197315693,
A2,44,OP2,-10.56758976,-3.33383584,
A2,45,OP2,-10.46403885,-3.297154665,
A2,46,OP2,-10.31446934,-3.214454651,
A2,47,OP2,-10.50926113,-3.47611618,
A2,48,OP2,-10.47925377,-3.512978554,
A2,49,OP2,-10.43167782,-3.5322721,
A2,50,OP2,-10.54760265,-3.715066671,
A2,51,OP2,-10.55817127,-3.792504787,
A2,52,OP2,-10.64588356,-3.947086811,
A2,53,OP2,-10.99235058,-4.360423565,
A2,54,OP2,-10.70399284,-4.138935566,
A2,55,OP2,-10.91073799,-4.412549973,
A2,56,OP2,-10.72468567,-4.293367386,
A2,57,OP2,-10.80746555,-4.443017006,
A2,58,OP2,-10.88179207,-4.584213257,
A2,59,OP2,-10.831357,-4.600647926,
A2,60,OP2,-11.16678905,-5.002949238,
A2,61,OP2,-11.15540695,-5.058436871,
A2,62,OP2,-11.03974533,-5.009644985,
A2,63,OP2,-11.3413744,-5.378143787,
A2,64,OP2,-11.29953194,-5.403171062,
A2,65,OP2,-11.12761021,-5.298118591,
A2,66,OP2,-11.02580929,-5.263187408,
A2,67,OP2,-11.36217499,-5.666422844,
A2,68,OP2,-11.39718628,-5.768303871,
A2,69,OP2,-11.54642296,-5.984410286,
A2,70,OP2,-11.47140408,-5.976260662,
A2,71,OP2,-11.152565,-5.724291325,
A2,72,OP2,-11.18835068,-5.826946735,
A2,73,OP2,-11.46229076,-6.167756557,
A2,74,OP2,-11.57391834,-6.346253872,
A2,75,OP2,-11.54703522,-6.386240005,
A2,76,OP2,-11.81469536,-6.720769882,
A2,77,OP2,-11.50822258,-6.48116684,
A2,78,OP2,-11.76399994,-6.803813934,
A2,79,OP2,-12.04506207,-7.151745796,
A2,80,OP2,-11.57250977,-6.746062756,
A2,81,OP2,-11.67283726,-6.913259983,
A2,82,OP2,-11.77077961,-7.078072071,
A2,83,OP2,-11.64458656,-7.01874876,
A2,84,OP2,-12.02896595,-7.469997883,
A2,85,OP2,-12.08492279,-7.592823982,
A2,86,OP2,-12.20346165,-7.778232574,
A2,87,OP2,-12.18046379,-7.822104454,
A2,88,OP2,-12.32197952,-8.030489922,
A2,89,OP2,-12.27436638,-8.049746513,
A2,90,OP2,-12.3748312,-8.21708107,
A2,91,OP2,-12.58612347,-8.495243073,
A2,92,OP2,-12.51858234,-8.494570732,
A2,93,OP2,-12.4343996,-8.477257729,
A2,94,OP2,-12.3145752,-8.424303055,
A2,95,OP2,-12.26390362,-8.440501213,
A2,96,OP2,-12.45767879,-8.701146126,
A2,97,OP2,-12.67061996,-8.980957031,
A2,98,OP2,-12.55761433,-8.934821129,
A2,99,OP2,-12.82740974,-9.271486282,
A2,100,OP2,-12.74248028,-9.253426552,
A2,101,OP2,-12.91115761,-9.488973618,
A2,102,OP2,-12.83923912,-9.483923912,
A2,103,OP2,-13.08335972,-9.794914246,
A2,104,OP2,-12.90605354,-9.684477806,
A2,105,OP2,-13.10710239,-9.952396393,
A2,106,OP2,-12.86606693,-9.778230667,
A2,107,OP2,-13.02414513,-10.0031786,
A2,108,OP2,-13.17628193,-10.22218513,
A2,109,OP2,-13.05202103,-10.16479397,
A2,110,OP2,-13.36450958,-10.54415226,
A2,111,OP2,-13.14177322,-10.38828564,
A2,112,OP2,-13.50046444,-10.81384563,
A2,113,OP2,-13.2372036,-10.61745453,
A2,114,OP2,-13.3291502,-10.77627087,
A2,115,OP2,-13.38523865,-10.89922905,
A2,116,OP2,-13.4387331,-11.01959324,
A2,117,OP2,-13.375494,-11.02322388,
A2,118,OP2,-13.57902336,-11.29362297,
A2,119,OP2,-13.20745564,-10.98892498,
A2,120,OP2,-13.70353508,-11.55187416,
A3,1,OP3,-2.476117134,-0.055429276,
A3,2,OP3,-2.46115756,-0.041125197,
A3,3,OP3,-2.433550835,-0.014173963,
A3,4,OP3,-2.426738262,-0.008016883,
A3,5,OP3,-2.422432423,-0.004366537,
A3,6,OP3,-2.423758745,-0.006348352,
A3,7,OP3,-2.392143965,0.024610937,
A3,8,OP3,-2.399808168,0.01629124,
A3,9,OP3,-2.410035133,0.005408782,
A3,10,OP3,-2.419826508,-0.005038084,
A3,11,OP3,-2.39799118,0.01614175,
A3,12,OP3,-2.416388035,-0.002910597,
A3,13,OP3,-2.423652887,-0.010830943,
A3,14,OP3,-2.405454397,0.006712055,
A3,15,OP3,-2.428990364,-0.017479405,
A3,16,OP3,-2.466570854,-0.055715386,
A3,17,OP3,-2.469390869,-0.059190895,
A3,18,OP3,-2.453907013,-0.04436253,
A3,19,OP3,-2.489955425,-0.081066437,
A3,20,OP3,-2.469489336,-0.061255839,
A3,21,OP3,-2.491177797,-0.083599791,
A3,22,OP3,-2.49478817,-0.087865658,
A3,23,OP3,-2.522657633,-0.116390616,
A3,24,OP3,-2.552998781,-0.147387251,
A3,25,OP3,-2.541742802,-0.136786774,
A3,26,OP3,-2.549276829,-0.144976288,
A3,27,OP3,-2.562472105,-0.158827052,
A3,28,OP3,-2.567589283,-0.164599732,
A3,29,OP3,-2.583723307,-0.181389242,
A3,30,OP3,-2.600163937,-0.19848536,
A3,31,OP3,-2.625415087,-0.224392012,
A3,32,OP3,-2.615782738,-0.21541515,
A3,33,OP3,-2.628228664,-0.228516564,
A3,34,OP3,-2.664049387,-0.264992774,
