Well,Cycle,FAM
G1,4,-871.8417358
G2,4,-1560.834473
G3,4,-2023.934448
G4,4,
G5,4,
G6,4,
G7,4,
G8,4,
G9,4,
G10,4,
G11,4,
G12,4,
H1,4,506.8474731
H2,4,-1505.507324
H3,4,-1469.939453
H4,4,
H5,4,
H6,4,
H7,4,
H8,4,
H9,4,
H10,4,
H11,4,
H12,4,
A1,5,67388.51563
A2,5,64595.97656
A3,5,65619.54688
A4,5,
A5,5,-1599.259888
A6,5,
A7,5,
A8,5,
A9,5,
A10,5,
A11,5,
A12,5,-1109.576904
B1,5,66168.89063
B2,5,51795.74609
B3,5,47655.39844
B4,5,
B5,5,-1232.884033
B6,5,
B7,5,
B8,5,
B9,5,
B10,5,
B11,5,
B12,5,-1442.361206
C1,5,60181.3125
C2,5,45689.9375
C3,5,39647.53125
C4,5,
C5,5,-1051.532593
C6,5,
C7,5,
C8,5,
C9,5,
C10,5,
C11,5,
C12,5,-1416.232056
D1,5,23769.56836
D2,5,23008.92969
D3,5,12312.65332
D4,5,
D5,5,
D6,5,
D7,5,
D8,5,
D9,5,
D10,5,
D11,5,
D12,5,
E1,5,12481.69531
E2,5,14356.2832
E3,5,1278.997559
E4,5,
E5,5,
E6,5,
E7,5,
E8,5,
E9,5,
E10,5,
E11,5,
E12,5,
F1,5,4479.12793
F2,5,36.29522705
F3,5,-1211.482666
F4,5,
F5,5,
F6,5,
F7,5,
F8,5,
F9,5,
F10,5,
F11,5,
F12,5,
G1,5,-778.5862427
G2,5,-1458.141479
G3,5,-1980.965454
G4,5,
G5,5,
G6,5,
G7,5,
G8,5,
G9,5,
G10,5,
G11,5,
G12,5,
H1,5,573.8079224
H2,5,-1450.904297
H3,5,-1410.825439
H4,5,
H5,5,
H6,5,
H7,5,
H8,5,
H9,5,
H10,5,
H11,5,
H12,5,
A1,6,73205.67188
A2,6,70564.88281
A3,6,71447.49219
A4,6,
A5,6,-1565.1875
A6,6,
A7,6,
A8,6,
A9,6,
A10,6,
A11,6,
A12,6,-1043.209717
B1,6,71323.84375
B2,6,57960.78125
B3,6,53917.28125
B4,6,
B5,6,-1150.509277
B6,6,
B7,6,
B8,6,
B9,6,
B10,6,
B11,6,
B12,6,-1386.451416
C1,6,66423.375
C2,6,51310.05859
C3,6,45339.24609
C4,6,
C5,6,-971.5679932
C6,6,
C7,6,
C8,6,
C9,6,
C10,6,
C11,6,
C12,6,-1368.700195
D1,6,27821.05859
D2,6,27080.83984
D3,6,14530.9082
D4,6,
D5,6,
D6,6,
D7,6,
D8,6,
D9,6,
D10,6,
D11,6,
D12,6,
E1,6,15085.66016
E2,6,17494.1875
E3,6,1937.111572
E4,6,
E5,6,
E6,6,
E7,6,
E8,6,
E9,6,
E10,6,
E11,6,
E12,6,
F1,6,5695.346191
F2,6,245.8398438
F3,6,-1172.71875
F4,6,
F5,6,
F6,6,
F7,6,
F8,6,
F9,6,
F10,6,
F11,6,
F12,6,
G1,6,-661.2174683
G2,6,-1423.148926
G3,6,-1945.12915
G4,6,
G5,6,
G6,6,
G7,6,
G8,6,
G9,6,
G10,6,
G11,6,
G12,6,
H1,6,633.6809692
H2,6,-1382.791748
H3,6,-1365.035645
H4,6,
H5,6,
H6,6,
H7,6,
H8,6,
H9,6,
H10,6,
H11,6,
H12,6,
A1,7,77567.14063
A2,7,75102.59375
A3,7,75785.91406
A4,7,
A5,7,-1507.480713
A6,7,
A7,7,
A8,7,
A9,7,
A10,7,
A11,7,
A12,7,-994.0102539
B1,7,75337.89844
B2,7,63072.89453
B3,7,59068.08594
B4,7,
B5,7,-1077.385986
B6,7,
B7,7,
B8,7,
B9,7,
B10,7,
B11,7,
B12,7,-1323.714844
C1,7,70841.77344
C2,7,56210.32031
C3,7,50067.04688
C4,7,
C5,7,-889.854126
C6,7,
C7,7,
C8,7,
C9,7,
C10,7,
C11,7,
C12,7,-1328.255493
D1,7,31371.47656
D2,7,30795.10547
D3,7,16698.90234
D4,7,
D5,7,
D6,7,
D7,7,
D8,7,
D9,7,
D10,7,
D11,7,
D12,7,
E1,7,17545.3457
E2,7,20264.85938
E3,7,2607.845703
E4,7,
E5,7,
E6,7,
E7,7,
E8,7,
E9,7,
