Well,Cycle,FAM
F1,3,-3590.371338
F2,3,-3034.26709
F3,3,-3281.887451
F4,3,-4086.119385
F5,3,-3242.256836
F6,3,-3408.151123
F7,3,-3579.185059
F8,3,-4008.805176
F9,3,-3462.081543
F10,3,
F11,3,
F12,3,-3573.931885
G1,3,-3612.119873
G2,3,-3834.646484
G3,3,-3848.424561
G4,3,-3058.905518
G5,3,-4207.567383
G6,3,-4189.852539
G7,3,-4019.053711
G8,3,-3568.964355
G9,3,-4095.361816
G10,3,
G11,3,
G12,3,-3271.470703
H1,3,-1582.203369
H2,3,-3919.860107
H3,3,-3507.994629
H4,3,-4199.878906
H5,3,-3851.561279
H6,3,-4271.158203
H7,3,-3921.758057
H8,3,-4318.794922
H9,3,-3848.410645
H10,3,
H11,3,
H12,3,-3432.999023
A1,4,13025.82227
A2,4,12636.39063
A3,4,10815.45801
A4,4,11158.08496
A5,4,10630.98438
A6,4,9217.392578
A7,4,8351.450195
A8,4,9393.712891
A9,4,6530.663574
A10,4,-3091.906738
A11,4,-3719.544434
A12,4,-3444.885986
B1,4,6386.519043
B2,4,6708.647949
B3,4,8419.290039
B4,4,10884.77539
B5,4,8544.97168
B6,4,12260.07715
B7,4,-752.2839355
B8,4,3380.435547
B9,4,-639.1738281
B10,4,-4175.864746
B11,4,-3564.168457
B12,4,-3497.321533
C1,4,-3508.468994
C2,4,6873.049316
C3,4,5608.144531
C4,4,6999.990234
C5,4,7828.171387
C6,4,11353.50488
C7,4,-3317.460693
C8,4,-1105.712402
C9,4,-3201.175293
C10,4,-3733.097656
C11,4,-3516.031494
C12,4,-3258.282227
D1,4,604.828125
D2,4,1854.106323
D3,4,-377.0631104
D4,4,3653.307373
D5,4,-797.4874268
D6,4,3327.748291
D7,4,-1015.332153
D8,4,-1488.063477
D9,4,-3421.616699
D10,4,
D11,4,
D12,4,
E1,4,-3495.689453
E2,4,-3604.281738
E3,4,-2696.567871
E4,4,-3574.980469
E5,4,-1070.825562
E6,4,-2077.211426
E7,4,-3442.655273
E8,4,-3313.709229
E9,4,-3438.890625
E10,4,
E11,4,
E12,4,
F1,4,-3598.327637
F2,4,-3055.43457
F3,4,-3291.539551
F4,4,-4094.396484
F5,4,-3167.635742
F6,4,-3394.604492
F7,4,-3578.786621
F8,4,-4019.995117
F9,4,-3401.989746
F10,4,
F11,4,
F12,4,-3565.630127
G1,4,-3612.660645
G2,4,-3810.515137
G3,4,-3844.900146
G4,4,-3071.375
G5,4,-4138.017578
G6,4,-4192.828125
G7,4,-4017.583008
G8,4,-3593.79248
G9,4,-4082.833984
G10,4,
G11,4,
G12,4,-3300.41626
H1,4,-1600.866455
H2,4,-3933.623535
H3,4,-3492.993896
H4,4,-4207.983398
H5,4,-3873.628418
H6,4,-4273.890625
H7,4,-3924.102539
H8,4,-4336.272949
H9,4,-3864.100098
H10,4,
H11,4,
H12,4,-3430.237549
A1,5,16109.57227
A2,5,15514.34082
A3,5,13761.93457
A4,5,14288.09375
A5,5,13613.4873
A6,5,11867.82227
A7,5,10856.74121
A8,5,12008.15137
A9,5,8984.329102
A10,5,-3091.805908
A11,5,-3717.803711
A12,5,-3455.531982
B1,5,8670.597656
B2,5,8894.763672
B3,5,11071.5791
B4,5,13884.64746
B5,5,11094.90234
B6,5,15618.43457
B7,5,69.4708252
B8,5,5116.54248
B9,5,238.8954468
B10,5,-4195.626465
B11,5,-3566.17627
B12,5,-3485.50293
C1,5,-3513.150879
C2,5,9113.798828
C3,5,7626.605469
C4,5,9234.476563
C5,5,10449.02637
C6,5,14576.03809
C7,5,-3266.920898
C8,5,-383.3438416
C9,5,-3027.752686
C10,5,-3722.169922
C11,5,-3534.961182
C12,5,-3241.065918
D1,5,1513.563599
D2,5,2935.647949
D3,5,277.5361938
D4,5,5317.938477
D5,5,-215.1273804
D6,5,4892.244141
D7,5,-335.3202209
D8,5,-1010.996765
D9,5,-3387.669434
D10,5,
D11,5,
D12,5,
E1,5,-3477.575195
E2,5,-3522.833984
E3,5,-2432.707764
E4,5,-3549.486816
E5,5,-367.2581787
E6,5,-1723.75708
E7,5,-3438.727051
E8,5,-3299.084473
E9,5,-3477.838379
E10,5,
E11,5,
E12,5,
F1,5,-3609.903809
F2,5,-3042.883301
F3,5,-3292.971191
F4,5,-4085.602539
F5,5,-3117.875
F6,5,-3369.955566
F7,5,-3551.245117
F8,5,-4032.341553
F9,5,-3346.608154
F10,5,
F11,5,
F12,5,-3573.919434
G1,5,-3598.705078
G2,5,-3807.556152
G3,5,-3866.755859
G4,5,-3076.95874
G5,5,-4085.11377
G6,5,-4209.405762
G7,5,-4018.869385
G8,5,-3595.926758
G9,5,-4072.543945
G10,5,
G11,5,
G12,5,-3296.029541
H1,5,-1610.165771
H2,5,-3940.845215
H3,5,-3502.946289
H4,5,-4208.427734
H5,5,-3858.474121
H6,5,-4292.037598
H7,5,-3925.579102
H8,5,-4332.84082
H9,5,-3860.342285
H10,5,
H11,5,
H12,5,-3421.104004
A1,6,18892.81641
A2,6,18517.69141
A3,6,16532.91406
A4,6,17194.35352
A5,6,16437.24219
A6,6,14343.00977
A7,6,13299.42773
A8,6,14419.58008
A9,6,11361.70703
A10,6,-3099.910889
A11,6,-3714.146729
A12,6,-3438.638916
B1,6,10806.76953
B2,6,11106.45117
B3,6,13622.1377
B4,6,16603.94727
B5,6,13659.79004
B6,6,18818.0332
B7,6,865.8442383
B8,6,6869.893066
B9,6,1113.837524
B10,6,-4186.256348
B11,6,-3580.525879
B12,6,-3485.08374
C1,6,-3511.745605
C2,6,11291.09668
C3,6,9551.447266
C4,6,11494.64648
C5,6,12851.62988
C6,6,17651.93164
C7,6,-3196.642578
C8,6,358.162262
C9,6,-2848.125977
C10,6,-3714.055176
C11,6,-3530.029297
C12,6,-3237.110596
D1,6,2445.979492
D2,6,4045.78125
D3,6,944.3892822
D4,6,7027.302246
D5,6,380.0181885
D6,6,6475.316895
D7,6,373.696167
D8,6,-464.5948181
