Well,Sample Name,Target Name,conc
A1,1:1,Reni-11,1.16
A2,1:1,Reni-11,1.16
A3,1:1,Reni-11,1.16
A4,1:1,Reni-13,1.28
A5,1:1,Reni-13,1.28
A6,1:1,Reni-13,1.28
A7,1:1,Reni-17,1.27
A8,1:1,Reni-17,1.27
A9,1:1,Reni-17,1.27
A10,,NTC,0
A11,,,
A12,,,
B1,1:10,Reni-11,0.116
B2,1:10,Reni-11,0.116
B3,1:10,Reni-11,0.116
B4,1:10,Reni-13,0.128
B5,1:10,Reni-13,0.128
B6,1:10,Reni-13,0.128
B7,1:10,Reni-17,0.127
B8,1:10,Reni-17,0.127
B9,1:10,Reni-17,0.127
B10,,NTC,0
B11,,,
B12,,,
C1,1:100,Reni-11,0.0116
C2,1:100,Reni-11,0.0116
C3,1:100,Reni-11,0.0116
C4,1:100,Reni-13,0.0128
C5,1:100,Reni-13,0.0128
C6,1:100,Reni-13,0.0128
C7,1:100,Reni-17,0.0127
C8,1:100,Reni-17,0.0127
C9,1:100,Reni-17,0.0127
C10,,NTC,0
C11,,,
C12,,,
D1,1:1000,Reni-11,0.00116
D2,1:1000,Reni-11,0.00116
D3,1:1000,Reni-11,0.00116
D4,1:1000,Reni-13,0.00128
D5,1:1000,Reni-13,0.00128
D6,1:1000,Reni-13,0.00128
D7,1:1000,Reni-17,0.00127
D8,1:1000,Reni-17,0.00127
D9,1:1000,Reni-17,0.00127
D10,,,
D11,,,
D12,,,
E1,1:10000,Reni-11,0.000116
E2,1:10000,Reni-11,0.000116
E3,1:10000,Reni-11,0.000116
E4,1:10000,Reni-13,0.000128
E5,1:10000,Reni-13,0.000128
E6,1:10000,Reni-13,0.000128
E7,1:10000,Reni-17,0.000127
E8,1:10000,Reni-17,0.000127
E9,1:10000,Reni-17,0.000127
E10,,,
E11,,,
E12,,,
F1,1:100000,Reni-11,0.0000116
F2,1:100000,Reni-11,0.0000116
F3,1:100000,Reni-11,0.0000116
F4,1:100000,Reni-13,0.0000128
F5,1:100000,Reni-13,0.0000128
F6,1:100000,Reni-13,0.0000128
F7,1:100000,Reni-17,0.0000127
F8,1:100000,Reni-17,0.0000127
F9,1:100000,Reni-17,0.0000127
F10,,,
F11,,,
F12,,,
G1,1:1000000,Reni-11,0.00000116
G2,1:1000000,Reni-11,0.00000116
G3,1:1000000,Reni-11,0.00000116
G4,1:1000000,Reni-13,0.00000128
G5,1:1000000,Reni-13,0.00000128
G6,1:1000000,Reni-13,0.00000128
G7,1:1000000,Reni-17,0.00000127
G8,1:1000000,Reni-17,0.00000127
G9,1:1000000,Reni-17,0.00000127
G10,,,
G11,,,
G12,,,
H1,1:10000000,Reni-11,0.000000116
H2,1:10000000,Reni-11,0.000000116
H3,1:10000000,Reni-11,0.000000116
H4,1:10000000,Reni-13,0.000000128
H5,1:10000000,Reni-13,0.000000128
H6,1:10000000,Reni-13,0.000000128
H7,1:10000000,Reni-17,0.000000127
H8,1:10000000,Reni-17,0.000000127
H9,1:10000000,Reni-17,0.000000127
H10,,,
H11,,,
H12,,,
